rank,priority_score,title,agency,pillar,category,value_usd,fiscal_status,urgency,days_until,url
1,90,USGS 3DEP LiDAR Acquisition 2026 - Phase 1,USGS,Federal,DaaS,217000000,Active,urgent,28,https://sam.gov
2,80,DIU Spaceborne LiDAR BAA,DIU,Federal,R&D,15000000,Active,urgent,15,https://sam.gov
3,80,ESA Copernicus Expansion - Elevation Services,ESA,International,DaaS,28000000,Active,near,75,https://sam.gov
4,80,NGA Commercial Space-Based 3D Mapping,NGA,Federal,DaaS,45000000,Active,near,40,https://sam.gov
5,80,FEMA Risk MAP Elevation Data Collection,FEMA,Federal,DaaS,28000000,Active,near,65,https://sam.gov
6,80,USFS National Forest LiDAR Inventory,USDA Forest Service,Federal,DaaS,22000000,Active,near,80,https://sam.gov
7,80,NOAA Coastal Topobathy LiDAR Services,NOAA,Federal,DaaS,18000000,Active,near,55,https://sam.gov
8,80,CSA Arctic Topographic Mapping Program,CSA,International,DaaS,22000000,Active,near,85,https://sam.gov
9,80,California Statewide LiDAR Program - Phase 2,State of California,State/Local,DaaS,45000000,Forecast,near,75,https://sam.gov
10,80,Maxar 3D Geospatial Intelligence - LiDAR Integration,Maxar,Commercial,DaaS,35000000,Active,near,60,https://sam.gov
11,80,Chile National Topographic Programme,CNIDEP,International,DaaS,42000000,Active,near,89,https://sam.gov
12,80,South Africa National Topographic Programme,SANSA,International,DaaS,35000000,Active,near,85,https://sam.gov
13,80,Turkey National Topographic Programme,TUASA,International,DaaS,38000000,Active,near,87,https://sam.gov
14,80,Sweden National Topographic Programme,SNSA,International,DaaS,32000000,Active,near,86,https://sam.gov
15,80,Norway National Topographic Programme,NSC,International,DaaS,29000000,Active,near,86,https://sam.gov
16,80,Argentina National Topographic Programme,IGN,International,DaaS,38000000,Active,near,89,https://sam.gov
17,80,Thailand National Topographic Programme,GISTDA,International,DaaS,40000000,Active,near,89,https://sam.gov
18,80,Italy National Topographic Programme,ASI,International,DaaS,34000000,Active,near,87,https://sam.gov
19,75,AWS Earth on AWS - Elevation Data Partnership,Amazon Web Services,Commercial,Platform,25000000,Active,near,70,https://sam.gov
20,75,ESA Digital Twin Earth LiDAR Platform,ESA,International,Platform,35000000,Active,near,45,https://sam.gov
21,75,USACE National DEM Production Contract,USACE,Federal,DaaS,32000000,Forecast,near,70,https://sam.gov
22,75,USGS National Map Topographic Data Services,USGS,Federal,DaaS,45000000,Active,near,60,https://sam.gov
23,75,Google Earth Engine Global DEM Initiative,Google,Commercial,Platform,30000000,Active,near,80,https://sam.gov
24,75,Planet Fusion Platform - Elevation Layer Integration,Planet Labs,Commercial,Platform,18000000,Active,near,75,https://sam.gov
25,75,Microsoft Planetary Computer Terrain Services,Microsoft,Commercial,Platform,22000000,Active,near,85,https://sam.gov
26,75,NYC 3D Building & Terrain Model Update,NYC Planning,State/Local,DaaS,12000000,Active,near,65,https://sam.gov
27,70,DOE Terrestrial Ecosystem LiDAR Characterization,DOE,Research,R&D,10000000,Active,near,85,https://sam.gov
28,70,CNSA Belt & Road Topographic Mapping,CNSA,International,DaaS,40000000,Forecast,future,130,https://sam.gov
29,70,UKSA Climate & Environment LiDAR Services,UKSA,International,DaaS,20000000,Forecast,future,90,https://sam.gov
30,70,ISRO National Topographic Mapping - LiDAR Phase,ISRO,International,DaaS,25000000,Forecast,future,110,https://sam.gov
31,70,Florida Coastal Mapping - Topobathy LiDAR,State of Florida,State/Local,DaaS,32000000,Forecast,future,100,https://sam.gov
32,70,National DEM Refresh,Geoscience Australia,International,DaaS,45000000,Forecast,future,110,https://sam.gov
33,70,New Zealand National Topographic Programme,LINZ,International,DaaS,28000000,Active,future,114,https://sam.gov
34,70,South Korea National Topographic Programme,KARI,International,DaaS,32000000,Active,future,114,https://sam.gov
35,70,Egypt National Topographic Programme,NARSS,International,DaaS,24000000,Active,future,113,https://sam.gov
